date,time,profile_name,tutorial_entered_at,play_entered_at,play_ended_at,total_game_time_s,score_a,score_b,a_joint1_distance_rad,a_joint2_distance_rad,a_joint3_distance_rad,a_joint4_distance_rad,a_joint5_distance_rad,a_joint6_distance_rad,b_joint1_distance_rad,b_joint2_distance_rad,b_joint3_distance_rad,b_joint4_distance_rad,b_joint5_distance_rad,b_joint6_distance_rad
2026-07-08,12-29-19,two_teams,2026-07-08T12:29:19.286624+08:00,2026-07-08T12:29:19.819877+08:00,2026-07-08T12:34:28.314814+08:00,309.028,308,52,10.009943,15.163501,23.888104,47.027461,9.537439,4.800468,2.448618,0.378298,0.446363,0.341273,0.394277,0.245223
2026-07-08,12-42-44,two_teams,2026-07-08T12:42:44.009932+08:00,2026-07-08T12:42:46.077913+08:00,2026-07-08T12:47:46.313802+08:00,302.304,45,459,0.352283,0.268853,0.265991,0.287500,0.289938,0.213328,4.014281,15.968725,21.960220,49.312459,3.596318,3.441039
2026-07-08,13-25-59,two_teams,2026-07-08T13:25:59.634594+08:00,2026-07-08T13:26:01.184631+08:00,2026-07-08T13:26:34.685888+08:00,35.051,0,0,1.547134,0.953540,0.752134,1.674293,2.970655,0.025178,0.032757,0.037660,0.036319,0.034304,0.044060,0.027383
2026-07-08,13-27-40,two_teams,2026-07-08T13:27:40.186368+08:00,2026-07-08T13:29:10.203562+08:00,2026-07-08T13:34:10.287290+08:00,390.101,13,72,7.458018,7.205513,13.238663,11.463073,8.591582,4.609473,4.693820,5.251681,4.969895,11.631833,8.288462,14.620651
2026-07-08,13-35-14,two_teams,2026-07-08T13:35:14.936978+08:00,2026-07-08T13:36:44.963511+08:00,2026-07-08T13:37:02.325757+08:00,107.389,0,0,0.335765,0.111089,0.111621,0.136483,0.116355,0.078722,0.113768,0.123399,0.126665,0.120186,0.157681,0.106555
2026-07-08,13-38-14,two_teams,2026-07-08T13:38:14.179473+08:00,2026-07-08T13:38:15.446444+08:00,2026-07-08T13:38:17.756362+08:00,3.577,0,0,0.004269,0.004142,0.004744,0.003873,0.008505,0.004964,0.003518,0.004633,0.006896,0.004144,0.019853,0.008949
2026-07-08,13-42-06,two_teams,2026-07-08T13:42:06.655274+08:00,2026-07-08T13:42:08.755927+08:00,2026-07-08T13:42:30.815888+08:00,24.161,0,0,0.031654,0.023746,0.031004,0.025989,0.037528,0.023781,0.026048,0.026792,0.036769,0.027485,0.048545,0.027305
2026-07-08,13-43-16,two_teams,2026-07-08T13:43:16.640088+08:00,2026-07-08T13:44:46.657981+08:00,2026-07-08T13:49:46.767653+08:00,390.128,96,43,13.287127,12.518657,12.958295,23.325736,6.200818,4.869700,10.082326,9.570194,5.908839,28.226650,6.305898,12.273183
2026-07-08,13-52-56,two_teams,2026-07-08T13:52:56.168485+08:00,2026-07-08T13:54:26.177192+08:00,2026-07-08T13:59:26.293975+08:00,390.125,177,124,11.138943,11.078524,5.529813,10.589154,6.063403,6.791500,5.423341,5.545491,6.214921,14.289963,8.138270,15.840715
2026-07-08,14-01-38,two_teams,2026-07-08T14:01:38.682026+08:00,2026-07-08T14:03:08.707061+08:00,2026-07-08T14:08:08.804127+08:00,390.122,19,148,5.741762,3.318348,11.081779,6.189178,5.664019,5.350450,7.832921,14.334751,11.495960,6.439973,16.317522,21.224109
2026-07-08,14-09-13,two_teams,2026-07-08T14:09:13.802761+08:00,2026-07-08T14:10:19.247167+08:00,2026-07-08T14:15:19.375658+08:00,365.573,75,15,5.994277,4.342263,7.908668,10.549213,4.608932,4.232064,4.172914,4.191923,6.347241,10.345892,9.249295,13.286302
2026-07-08,14-22-07,two_teams,2026-07-08T14:22:07.089429+08:00,2026-07-08T14:23:37.096080+08:00,2026-07-08T14:28:37.188527+08:00,390.099,165,9,12.029693,12.762778,16.420301,29.144093,27.461205,14.685683,15.718438,8.165340,1.669743,2.192574,3.767736,4.466305
2026-07-08,14-32-51,two_teams,2026-07-08T14:32:51.218811+08:00,2026-07-08T14:34:21.243584+08:00,2026-07-08T14:39:21.337052+08:00,390.118,15,99,2.975229,4.371991,4.712093,3.038440,10.694348,9.565435,6.045369,7.350961,6.860966,12.191142,14.866486,5.920074
2026-07-08,14-40-41,two_teams,2026-07-08T14:40:41.739156+08:00,2026-07-08T14:42:11.763760+08:00,2026-07-08T14:47:11.858845+08:00,390.120,4,24,2.559101,0.417231,0.394711,0.399255,0.383264,0.275031,7.228359,5.110548,3.945897,8.571012,5.556508,4.885928
